Match_ID,Home_team,Away_team,FirstHalf_H,FirstHalf_A,FirstHalf_R,FH_Over_Under_1.5,SecondHalf_H,SecondHalf_A,SecondHalf_R,SH_Over_Under_1.5,Final_H,Final_A,Final_R,F_Over_Under_2.5,Winning_Team,Losing_Team,Payout_Winning Team
226,Southampton,Newcastle Utd,0,1,A,U,2,1,H,O,2,2,D,O,Southampton / Newcastle Utd,Southampton / Newcastle Utd,3.6
227,Brighton,Everton,0,0,D,U,1,1,D,O,1,1,D,U,Brighton / Everton,Brighton / Everton,3.4
228,Watford,Arsenal,0,1,A,U,2,0,H,O,2,1,H,O,Watford,Arsenal,6
229,Burnley,West Ham,0,1,A,U,1,0,H,U,1,1,D,U,Burnley / West Ham,Burnley / West Ham,3.3
230,Crystal Palace,Chelsea,2,1,H,O,0,0,D,U,2,1,H,O,Crystal Palace,Chelsea,11
231,Manchester City,Stoke City,3,1,H,O,4,1,H,O,7,2,H,O,Manchester City,Stoke City,1.17
232,Swansea,Huddersfield,1,0,H,U,1,0,H,U,2,0,H,U,Swansea,Huddersfield,2.3
233,Tottenham,Bournemouth,0,0,D,U,1,0,H,U,1,0,H,U,Tottenham,Bournemouth,1.2
234,Liverpool,Manchester United,0,0,D,U,0,0,D,U,0,0,D,U,Liverpool / Manchester United,Liverpool / Manchester United,3.4
235,Newcastle Utd,Liverpool,1,1,D,O,0,0,D,U,1,1,D,U,Newcastle Utd / Liverpool,Newcastle Utd / Liverpool,3.6
236,Everton,Burnley,0,1,A,U,0,0,D,U,0,1,A,U,Burnley,Everton,5.75
237,Arsenal,Brighton,1,0,H,U,1,0,H,U,2,0,H,U,Arsenal,Brighton,1.2
238,Chelsea,Manchester City,0,0,D,U,0,1,A,U,0,1,A,U,Manchester City,Chelsea,2.7
239,Bournemouth,Leicester,0,0,D,U,0,0,D,U,0,0,D,U,Bournemouth / Leicester,Bournemouth / Leicester,3.25
240,Manchester United,Crystal Palace,2,0,H,O,2,0,H,O,4,0,H,O,Manchester United,Crystal Palace,1.2
241,Stoke City,Southampton,1,0,H,U,1,1,D,O,2,1,H,O,Stoke City,Southampton,2.45
242,West Brom,Watford,2,1,H,O,0,1,A,U,2,2,D,O,West Brom / Watford,West Brom / Watford,3.2
